name,gender,species,year,county,count
ADA,F,human,2015,Kings,15
ADALYNN,F,human,2014,Bronx,6
ADAM,M,human,2007,Bronx,24
ADAM,M,human,2007,Kings,64
ADAM,M,human,2007,New York,24
ADAM,M,human,2007,Queens,79
ADAM,M,human,2007,Richmond,22
ADAM,M,human,2008,Bronx,27
ADAM,M,human,2008,Kings,73
ADAM,M,human,2008,New York,22
ADAM,M,human,2008,Queens,70
ADAM,M,human,2008,Richmond,16
ADAM,M,human,2009,Bronx,30
ADAM,M,human,2009,Kings,55
ADAM,M,human,2009,New York,38
ADAM,M,human,2009,Queens,62
ADAM,M,human,2009,Richmond,11
ADAM,M,human,2010,Bronx,20
ADAM,M,human,2010,Kings,81
ADAM,M,human,2010,New York,37
ADAM,M,human,2010,Queens,63
ADAM,M,human,2010,Richmond,13
ADAM,M,human,2011,Bronx,26
ADAM,M,human,2011,Kings,72
ADAM,M,human,2011,New York,40
ADAM,M,human,2011,Queens,81
ADAM,M,human,2011,Richmond,14
ADAM,M,human,2012,Bronx,23
ADAM,M,human,2012,Kings,86
ADAM,M,human,2012,New York,41
ADAM,M,human,2012,Queens,77
ADAM,M,human,2012,Richmond,23
ADAM,M,human,2013,Bronx,25
ADAM,M,human,2013,Kings,78
ADAM,M,human,2013,New York,25
ADAM,M,human,2013,Queens,107
ADAM,M,human,2013,Richmond,19
ADAM,M,human,2014,Bronx,37
ADAM,M,human,2014,Kings,110
ADAM,M,human,2014,New York,33
ADAM,M,human,2014,Queens,96
ADAM,M,human,2014,Richmond,22
ADAM,M,human,2015,Bronx,38
ADAM,M,human,2015,Kings,85
ADAM,M,human,2015,New York,32
ADAM,M,human,2015,Queens,97
ADAM,M,human,2015,Richmond,21
ADAN,M,human,2014,Bronx,5
ADAN,M,human,2014,Queens,6
ADDISON,F,human,2008,New York,14
ADDISON,F,human,2009,New York,11
ADDISON,F,human,2010,New York,12
ADDISON,F,human,2011,Kings,15
ADDISON,F,human,2011,New York,10
ADDISON,F,human,2012,Bronx,10
ADDISON,F,human,2012,New York,13
ADDISON,F,human,2013,Kings,13
ADDISON,F,human,2013,New York,14
ADDISON,F,human,2014,Kings,8
ADDISON,F,human,2014,New York,10
ADDISON,F,human,2014,Queens,9
ADDISON,F,human,2014,Richmond,10
ADDISON,F,human,2015,Kings,14
ADELAIDE,F,human,2012,New York,16
ADELAIDE,F,human,2014,Kings,7
ADELAIDE,F,human,2014,New York,9
ADELE,F,human,2011,Kings,15
ADELE,F,human,2012,Kings,17
ADELE,F,human,2013,Kings,15
ADELE,F,human,2014,Bronx,5
ADELE,F,human,2014,Kings,12
ADELE,F,human,2014,New York,11
ADELE,F,human,2014,Queens,8
ADELE,F,human,2015,Kings,16
ADELINA,F,human,2014,Kings,5
ADELINE,F,human,2014,Kings,9
ADELINE,F,human,2014,New York,5
ADELINE,F,human,2015,Kings,11
ADELYN,F,human,2014,Bronx,6
ADEN,M,human,2007,Kings,10
ADEN,M,human,2008,New York,13
ADEN,M,human,2009,Kings,18
ADEN,M,human,2009,Queens,11
ADEN,M,human,2010,Kings,12
ADEN,M,human,2011,Kings,19
ADEN,M,human,2011,New York,11
ADEN,M,human,2011,Queens,10
ADEN,M,human,2012,Kings,10
ADEN,M,human,2012,Queens,12
ADEN,M,human,2013,Kings,14
ADEN,M,human,2013,Queens,18
ADEN,M,human,2014,Bronx,8
ADEN,M,human,2014,Kings,14
ADEN,M,human,2014,New York,5
ADEN,M,human,2014,Queens,10
ADEN,M,human,2015,Bronx,12
ADEN,M,human,2015,Kings,12
ADEN,M,human,2015,Queens,14
ADHAM,M,human,2014,Kings,5
ADIEL,M,human,2014,Queens,5
ADINA,F,human,2007,Kings,11
ADINA,F,human,2008,Kings,12
ADINA,F,human,2009,Kings,18
ADINA,F,human,2010,Kings,10
ADINA,F,human,2011,Kings,13
ADINA,F,human,2011,Queens,10
ADINA,F,human,2012,Kings,13
ADINA,F,human,2012,Queens,12
ADINA,F,human,2013,Kings,13
ADINA,F,human,2014,Kings,16
ADINA,F,human,2014,Queens,6
ADINA,F,human,2015,Kings,14
ADITYA,M,human,2010,Queens,10
ADONIS,M,human,2007,Bronx,12
ADONIS,M,human,2008,Kings,12
ADONIS,M,human,2009,Bronx,20
ADONIS,M,human,2010,Bronx,10
ADONIS,M,human,2010,Kings,13
ADONIS,M,human,2011,Bronx,11
ADONIS,M,human,2011,Kings,12
ADONIS,M,human,2012,Kings,13
ADONIS,M,human,2014,Bronx,13
ADONIS,M,human,2014,Kings,10
ADONIS,M,human,2014,Queens,9
ADONIS,M,human,2015,Bronx,12
ADRIAN,M,human,2007,Bronx,54
ADRIAN,M,human,2007,Kings,46
ADRIAN,M,human,2007,New York,35
ADRIAN,M,human,2007,Queens,64
ADRIAN,M,human,2008,Bronx,52
ADRIAN,M,human,2008,Kings,56
ADRIAN,M,human,2008,New York,42
ADRIAN,M,human,2008,Queens,75
ADRIAN,M,human,2008,Richmond,10
ADRIAN,M,human,2009,Bronx,52
ADRIAN,M,human,2009,Kings,49
ADRIAN,M,human,2009,New York,31
ADRIAN,M,human,2009,Queens,81
